"Region;""Schadstoff"";""Einheit"";""NFR_Code"";""NFR_Sektor"";""Quelle"";""Datenstand"";""Jahr"";""Werte""",,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1994"";186",000807859141,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1995"";185",65052044469,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1996"";203",64334565766,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1997"";189",8.61915E+11,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1998"";201",6.57722E+11,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1999"";193",8.18378E+11,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2000"";199",8.13402E+11,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2001"";210",6.19741E+11,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2002"";218",4.84987E+11,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2003"";230",005666391781,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2004"";230",7.1249E+11,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2005"";236",2.85001E+11,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2006"";226",8.41827E+11,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2007"";220",1.11102E+11,,
"AT;""NOX"";""kt"";""1 A"";""FUEL COMBUSTION ACTIVITIES"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2008"";206",5.60379E+11,,
