(Übergeordnete) ASIN,Sitzungen – Insgesamt – B2B,Sitzungen - Insgesamt,Sitzungen – Insgesamt – B2B,Prozentualer Anteil der Sitzung - Gesamt,Prozentsatz der Sitzungen – Insgesamt – B2B,Seitenaufrufe - Insgesamt,Seitenaufrufe – Insgesamt – B2B,Seitenaufrufe in Prozent - Gesamt,Prozentsatz der Seitenaufrufe – Insgesamt – B2B,Prozentsatz für „In den Einkaufswagen“ (Einkaufswagen-Feld),Prozentsatz für „Hervorgehobenes Angebot“ (Einkaufswagen-Feld) – B2B,Bestellte Einheiten,Bestellte Einheiten – B2B,Einheiten pro Sitzung in Prozent,Einheiten pro Sitzung in Prozent – B2B,Umsatz bestellte Produkte,Umsatz bestellte Produkte – B2B,Gesamtzahl der Bestellposten,Gesamtzahl der Bestellposten – B2B
B07T2D8GKV,31,"1,179",31,63.83%,81.58%,"1,638",37,"AGROFLOR Sichtschutz Kunststoff Netz, Grün, Verkleidung für Zaun, Garten und Balkon, Gartenzaun, Windschutz, inklusive Kabelbinder 120 x 100 cm",77.08%,99.18%,100.00%,47,0,3.99%,0.00%,"2.478,21 €","0,00 €",44,0
B07DLV7PPG,0,133,0,7.20%,0.00%,225,0,"AGROFLOR Insektenschutznetz, 0,8 x 0,8 mm Maschenweite, Suzuki Netz und Saatschädlinge",0.00%,95.00%,0.00%,17,0,12.78%,0.00%,"1.312,71 €","0,00 €",16,0
B09F3CZ2MJ,3,250,3,13.54%,7.89%,353,4,"AGROFLOR® Schattiermatte, Größe: 2 x 5 m | Sonnenschutz für Gewächshaus, Garten, Frühbeet, Tunnelbögen - Schattierwert 60%, 110gr./m²,",8.33%,98.30%,75.00%,20,0,8.00%,0.00%,"740,62 €","0,00 €",17,0
B079Y5NP9C,2,122,2,6.61%,5.26%,189,5,"AGROFLOR® Hagelschutznetz, Größe 3 x 6 m, schwarz - Robustes Netz für den Schutz von Obst, Gemüse, Pflanzen und Fahrzeugen. Befestigungclips inklusive.",10.42%,92.59%,100.00%,19,1,15.57%,50.00%,"651,41 €","19,31 €",16,1
B092J7MCDF,0,55,0,2.98%,0.00%,71,0,"AGROFLOR Vogelschutznetz, Maschenweite 30mm, blau, mehr jährig 6 x 6 m",0.00%,100.00%,0.00%,13,0,23.64%,0.00%,"307,98 €","0,00 €",9,0
B0BNKWGK58,0,1,0,0.05%,0.00%,11,0,"AGROFLOR Gerüstschutznetz- Sandstrahlnetz, verschiedene Größen, weiß, 100% PE, UV-stabil, ca. 130 g/m², mit Haltebändern.",0.00%,100.00%,0.00%,1,0,100.00%,0.00%,"218,00 €","0,00 €",1,0
B07FM7T5VW,2,54,2,2.92%,5.26%,75,2,"AGROFLOR WitaKnabb-Baumschutz, 5 Stück Manschette zum Schutz vor mechanischer Beschädigung der Rinde, z.B. Obstbäume, Parkbäume, Alleebäume, u.v.m.",4.17%,100.00%,100.00%,7,0,12.96%,0.00%,"174,50 €","0,00 €",6,0
B0BNKWK2LH,0,3,0,0.16%,0.00%,5,0,"AGROFLOR Gerüstschutznetz, Staubschutznetz, verschiedene Größen, weiß, 100% PE, UV-stabil, ca. 55 g/m², mit verstärkter Knopflochleiste alle 15cm.",0.00%,100.00%,0.00%,1,0,33.33%,0.00%,"158,00 €","0,00 €",1,0
B079Z8YDJX,0,25,0,1.35%,0.00%,36,0,"AGROFLOR Wespenschutznetz, mit Knopflochleist, Größe: 4 x 5 m",0.00%,100.00%,0.00%,5,0,20.00%,0.00%,"157,50 €","0,00 €",3,0
B0B9XLPJHX,0,3,0,0.16%,0.00%,3,0,"AGROFLOR Vogelschutznetz, blau, Maschenweite 30mm, mehrjährig verwendbar, Verschiedene Größen!",0.00%,100.00%,0.00%,2,0,66.67%,0.00%,"81,60 €","0,00 €",2,0
B07FMC8G85,0,15,0,0.81%,0.00%,17,0,"AGROFLOR QuickFix Kabelbinder, 100Stück, wiederöffenbar und wiederverwendbar, 4,8mm x 30cm",0.00%,100.00%,0.00%,3,0,20.00%,0.00%,"37,70 €","0,00 €",2,0
B07KC5P1NB,0,2,0,0.11%,0.00%,2,0,"Vogelschutznetz, grün, Maschenweite 12mm, mehrjährig verwendbar, Verschiedene Größen! (8 x 8 m)",0.00%,100.00%,0.00%,0,0,0.00%,0.00%,"0,00 €","0,00 €",0,0
B0B9X94815,0,1,0,0.05%,0.00%,2,0,AGROFLOR 1310000550,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,"0,00 €","0,00 €",0,0
B0B9XVDSSB,0,3,0,0.16%,0.00%,5,0,"AGROFLOR Vogelschutznetz, grün/Schwarz Maschenweite 25mm, mehrjährig verwendbar, Verschiedene Größen!",0.00%,100.00%,0.00%,0,0,0.00%,0.00%,"0,00 €","0,00 €",0,0
B0BXLXBPJG,0,1,0,0.05%,0.00%,1,0,"AGROFLOR® Sichtschutzmatte/Windschutzmatte/Schattiermatte/Balkonblende | 1,5 x 50 m",0.00%,100.00%,0.00%,0,0,0.00%,0.00%,"0,00 €","0,00 €",0,0
